ID;Razón Social;País;DR Inscripción;Resolución Inscripción;Fecha Inscripción;Vigencia Hasta;DR Actualización;Resolución Actualización;Fecha Actualización;Estado
22;TELFIN IRELAND DESIGNATED ACTIVITY COMPANY;IRLANDA;DR XV ;1072; 04-06-2015;jun-21;DR XV ;2123; 30-08-2021;EXCLUIDO
23;PMG S.A.;LUXEMBURGO;SIN DATOS DE RESOLUCIONES;;;jun-12;DR XV ;11890; 30-12-2011;PENDIENTE
24;K+S FINANCE BELGIUM BBVA;BÉLGICA;DR XV ;10349; 17-11-2011;jun-19;DR XV ;2427; 27-07-2018;PENDIENTE
25;ANGLOAMERICAN CAPITAL PLC;INGLATERRA;DGC ;187; 28-12-2011;jun-22;DGC (17400);813; 03-08-2021;ACTUALIZADO
26;RIO TINTO FINANCE PLC;REINO UNIDO;DR XV ;690; 25-01-2012;jun-22;DR XV ;1703; 21-07-2021;ACTUALIZADO
27;TRILON (LUXEMBOURG) S.A.R.L.;LUXEMBURGO;SIN DATOS DE RESOLUCIONES;;;jun-13;DR XV ;874; 01-02-2012;PENDIENTE
28;TIME WARNER INTERNATIONAL FINANCE LIMITED;INGLATERRA;DR XV ;1446; 01-08-2016;jun-22;DR XV ;1612; 09-07-2021;ACTUALIZADO
29;QUADRA FNX FFI S.A.R.L.;LUXEMBURGO;DR XV ;1606; 02-03-2012;jun-22;DR XV ;1462; 23-06-2021;ACTUALIZADO
30;EIG GLOBAL PROJECT FUND III LTD.;ISLAS CAYMAN;DR XV ;4055; 25-05-2012;jun-15;DR XV ;290; 11-02-2015;PENDIENTE
31;BTMU LEASING & FINANCE INC.;ESTADOS UNIDOS;DGC ;42; 01-06-2012;jun-16;DGC ;189; 16-09-2016;EXCLUIDO
32;DLL IRELAND DAC (EX DE LAGE LANDEN IRELAND COMPANY);IRLANDA;DR XV ;4804; 02-03-2012;jun-22;DR XX ;775; 07-09-2021;ACTUALIZADO
33;GODREJ NETHERLANDS B.V.;HOLANDA;DR XV ;77312012695; 30-11-2012;jun-14;DR XV ;10618; 06-12-2013;PENDIENTE
34;MARUBENI LOS PELAMBRES INVESTMENT B.V.;HOLANDA;DR XV ;77312013329; 20-12-2012;jun-17;DR XV ;1481; 10-08-2016;PENDIENTE
35;MOLINOS IP S.A.;SUIZA;DR XV ;77313014491; 25-01-2013;jun-16;DR XV ;1359; 21-07-2016;PENDIENTE
36;BANCO BTG PACTUAL S.A. – CAYMAN BRANCH;BRASIL;DR XV ;77312008926; 23-08-2012;jun-16;DR XV ;1569; 26-08-2016;EXCLUIDO
37;EKF DENMARK´S EXPORT CREDIT AGENCY;DINAMARCA;DR XV ;1517; 28-06-2017;jun-22;DR XV ;1826; 03-08-2021;ACTUALIZADO
38;CASERONES FINANCE NETHERLANDS B.V.;PAISES BAJOS;DR XV ;77313015500; 26-02-2013;jun-22;DR XV ;1684; 20-07-2021;ACTUALIZADO
39;PORSCHE CORPORATE FINANCE GMBH;AUSTRIA;DR XV ;1825; 14-07-2017;jun-22;DR XV ;2057; 23-08-2021;ACTUALIZADO
40;ENGIE CC;BÉLGICA;DR XV ;77313016929; 10-04-2013;jun-22;DR XV ;1716; 22-07-2021;ACTUALIZADO
41;AES INTERNACIONAL HOLDINGS III, LTD.;ISLAS VÍRGENES BRITÁNICAS;DR XV ;2778; 22-08-2018;jun-21;DR XV ;2009; 17-08-2021;EXCLUIDO
42;DEG DEUTSCHE INVESTITIONS UND ENTWICKLUNGSGESELLSCHAFT MBH;ALEMANIA;DR XV ;77313018770; 03-06-2013;jun-22;DR XV ;1676; 20-07-2021;ACTUALIZADO
43;ORIENTE COPPER NETHERLANDS B.V.;HOLANDA;DR XV ;2617; 27-05-2013;jun-22;DR XV ;1743; 27-07-2021;ACTUALIZADO
44;BUNZL FINANCE PUBLIC LIMITED COMPANY;INGLATERRA;DR XX ; 899 (418) ; 06-10-2016;jun-22;DR XX ;774; 07-09-2021;ACTUALIZADO
45;METLIFE IRELAND TREASURY d.a.c.;IRELAND;DR XIII ; 77313024244 (305) ; 02-10-2013;jun-20;DR XIII ;967; 23-09-2019;PENDIENTE
46;LATIN AMERICA POWER FINANCING B.V.;HOLANDA;DR XV ;10195; 22-11-2013;jun-16;DR XV ;1494; 08-09-2015;PENDIENTE
47;ETEXCO N.V.;BÉLGICA;DR XV ;467; 05-12-2013;jun-22;DR XV ;2031; 18-08-2021;ACTUALIZADO
48;SOCIETÉ DE PROMOTION ET DE PARTICIPATION POUR LA COOPERATION ECONOMIQUE;FRANCIA;DR XV ;9663; 12-12-2014;jun-22;DR XV ;1719; 22-07-2021;ACTUALIZADO
49;MAREL HOLDING BV.;HOLANDA;DR XV ;198; 07-01-2014;jun-21;DR XV ;1721; 01-07-2020;PENDIENTE
50;PLANSEE GROUP SERVICE S.A.;LUXEMBURGO;DR XV ;90; 17-01-2018;jun-22;DR XV ;1793; 28-07-2021;ACTUALIZADO
51;PRINCIPAL FINANCIAL SERVICES V (UK) LTD;INGLATERRA;DR XV ;651; 22-01-2014;jun-22;DR XV ;2092; 27-08-2021;ACTUALIZADO
52;FUNDACIÓN BBVA PARA LAS MICROFINANZAS;ESPAÑA;DR XV ;2047; 24-08-2020;jun-21;DR XV ;2013; 17-08-2021;EXCLUIDO
53;SILFIN N.V.;BÉLGICA;DR XVI ;1545; 27-03-2014;jun-14;SIN DATOS DE RESOLUCIONES;;;PENDIENTE
54;RANDSTAD FINANCE GMBH;SUIZA;DR XV ;4155; 19-05-2014;jun-22;DR XV ;1670; 20-07-2021;ACTUALIZADO
55;ATC LATIN AMERICA SA DE CV SOFOM ENR;MÉXICO;DR XV ;4964; 19-06-2014;jun-22;DR XV ;1475; 24-06-2021;ACTUALIZADO
56;DOREL FINANCE LIMITED;BARBADOS;DR XV ;6717; 19-08-2014;jun-22;DR XV ;1685; 20-07-2021;ACTUALIZADO
57;COMPASS GROUP INTERNATIONAL B.V.;HOLANDA;DR XV ;7553; 08-10-2008;jun-22;DR XX ;776; 07-09-2021;ACTUALIZADO
58;SIEMENS FINANCIAL SERVICES INC.;DELAWARE-USA;DR XV ;2779; 22-08-2018;jun-22;DR XV ;1576; 06-07-2021;ACTUALIZADO
59;SEMBCORP FINANCIAL SERVICES PTE LTD;SINGAPUR;DR XV ;7785; 29-09-2014;jun-20;DR XV ;1939; 11-07-2019;PENDIENTE
60;VTR FINANCE B.V.;HOLANDA;DR XIII ;4521; 04-11-2014;jun-21;DR XV ;1736; 03-07-2020;PENDIENTE
61;FERMAT 1 S.A.R.L.;LUXEMBURGO;DR XV ;8943; 12-11-2014;jun-15;SIN DATOS DE RESOLUCIONES;;;PENDIENTE
62;SCOTIABANK & TRUST (CAYMAN) LTD.;ISLAS CAYMAN;DGC ;214; 18-12-2015;jun-20;DR XIII ; 485(225) ; 28-06-2019;PENDIENTE
63;MICROVEST GMG LOCAL CREDIT MASTER FUND, LTD;ISLAS CAYMAN;DR XV ;11757; 30-12-2014;jun-16;DR XV ;546; 10-03-2016;PENDIENTE
64;TECK FINANCIAL CORPORATION LTD.;BERMUDA;DGC ;91112; 30-10-2014;jun-16;DR XV ;1661; 20-10-2015;PENDIENTE
65;KAL TIRE LUXEMBOURG S.A.R.L.;LUXEMBURGO;DR XV ;1063; 02-06-2015;jun-16;DR XV ;1660; 20-10-2015;PENDIENTE
66;LW LATIN AMERICA SHORT DURATION FUND B.V.;CURAZAO;DR XV ;1130; 19-06-2015;jun-15;DR XV ;161; 10-02-2015;EXCLUIDO
67;GLOBAL AG II FFI LLC;DELAWARE-USA;DR XV ;2263; 11-07-2018;jun-22;DR XV ;1557; 05-07-2021;ACTUALIZADO
